بِسْمِ اللَّٰهِ الرَّحْمَـٰنِ الرَّحِيمِ || bi <wasl> s mi <space> <wasl> l laa hi <space> <wasl> r ra ħ maa ni <space> <wasl> r ra ħii mi
وَيَوْمَ يَحْشُرُهُمْ جَمِيعًا يَا مَعْشَرَ الْجِنِّ قَدِ اسْتَكْثَرْتُم مِّنَ الْإِنسِ ۖ وَقَالَ أَوْلِيَاؤُهُم مِّنَ الْإِنسِ رَبَّنَا اسْتَمْتَعَ بَعْضُنَا بِبَعْضٍ وَبَلَغْنَا أَجَلَنَا الَّذِي أَجَّلْتَ لَنَا ۚ قَالَ النَّارُ مَثْوَاكُمْ خَالِدِينَ فِيهَا إِلَّا مَا شَاءَ اللَّٰهُ ۗ إِنَّ رَبَّكَ حَكِيمٌ عَلِيمٌ || wa ya w ma <space> ya ħ ʃu ru hu m <space> ja mii ʕan <space> yaa <space> ma ʕ ʃa ra <space> <wasl> l ji n ni <space> qa di <space> <wasl> s ta k θa r tu m <space> m mi na <space> <wasl> l ʔi n si <space> wa qaa la <space> ʔa w li yaa ʔu hu m <space> m mi na <space> <wasl> l ʔi n si <space> ra b ba naa <space> <wasl> s ta m ta ʕa <space> ba ʕ dˤu naa <space> bi ba ʕ dˤin <space> wa ba la ɣ naa <space> ʔa ja la naa <space> <wasl> l la ðii <space> ʔa j ja l ta <space> la naa <space> qaa la <space> <wasl> n naa ru <space> ma θ waa ku m <space> xaa li dii na <space> fii haa <space> ʔi l laa <space> maa <space> ʃaa ʔa <space> <wasl> l laa hu <space> ʔi n na <space> ra b ba ka <space> ħa kii mun <space> ʕa lii mun
وَكَذَٰلِكَ نُوَلِّي بَعْضَ الظَّالِمِينَ بَعْضًا بِمَا كَانُوا يَكْسِبُونَ || wa ka ðaa li ka <space> nu wa l lii <space> ba ʕ dˤa <space> <wasl> ðˤ ðˤaa li mii na <space> ba ʕ dˤan <space> bi maa <space> kaa nuu <space> ya k si buu na
يَا مَعْشَرَ الْجِنِّ وَالْإِنسِ أَلَمْ يَأْتِكُمْ رُسُلٌ مِّنكُمْ يَقُصُّونَ عَلَيْكُمْ آيَاتِي وَيُنذِرُونَكُمْ لِقَاءَ يَوْمِكُمْ هَـٰذَا ۚ قَالُوا شَهِدْنَا عَلَىٰ أَنفُسِنَا ۖ وَغَرَّتْهُمُ الْحَيَاةُ الدُّنْيَا وَشَهِدُوا عَلَىٰ أَنفُسِهِمْ أَنَّهُمْ كَانُوا كَافِرِينَ || yaa <space> ma ʕ ʃa ra <space> <wasl> l ji n ni <space> wa <wasl> l ʔi n si <space> ʔa la m <space> ya ʔ ti ku m <space> ru su lun <space> m mi n ku m <space> ya qu sˤ sˤuu na <space> ʕa la y ku m <space> ʔaa yaa tii <space> wa yu n ði ruu na ku m <space> li qaa ʔa <space> ya w mi ku m <space> haa ðaa <space> qaa luu <space> ʃa hi d naa <space> ʕa laa <space> ʔa n fu si naa <space> wa ɣa r ra t hu mu <space> <wasl> l ħa yaa Tu <space> <wasl> d du n yaa <space> wa ʃa hi duu <space> ʕa laa <space> ʔa n fu si hi m <space> ʔa n na hu m <space> kaa nuu <space> kaa fi rii na
ذَٰلِكَ أَن لَّمْ يَكُن رَّبُّكَ مُهْلِكَ الْقُرَىٰ بِظُلْمٍ وَأَهْلُهَا غَافِلُونَ || ðaa li ka <space> ʔa n <space> l la m <space> ya ku n <space> r ra b bu ka <space> mu h li ka <space> <wasl> l qu raa <space> bi ðˤu l min <space> wa ʔa h lu haa <space> ɣaa fi luu na
وَلِكُلٍّ دَرَجَاتٌ مِّمَّا عَمِلُوا ۚ وَمَا رَبُّكَ بِغَافِلٍ عَمَّا يَعْمَلُونَ || wa li ku l lin <space> da ra jaa tun <space> m mi m maa <space> ʕa mi luu <space> wa maa <space> ra b bu ka <space> bi ɣaa fi lin <space> ʕa m maa <space> ya ʕ ma luu na
وَرَبُّكَ الْغَنِيُّ ذُو الرَّحْمَةِ ۚ إِن يَشَأْ يُذْهِبْكُمْ وَيَسْتَخْلِفْ مِن بَعْدِكُم مَّا يَشَاءُ كَمَا أَنشَأَكُم مِّن ذُرِّيَّةِ قَوْمٍ آخَرِينَ || wa ra b bu ka <space> <wasl> l ɣa ni y yu <space> ðuu <space> <wasl> r ra ħ ma Ti <space> ʔi n <space> ya ʃa ʔ <space> yu ð hi b ku m <space> wa ya s ta x li f <space> mi n <space> ba ʕ di ku m <space> m maa <space> ya ʃaa ʔu <space> ka maa <space> ʔa n ʃa ʔa ku m <space> m mi n <space> ðu r ri y ya Ti <space> qa w min <space> ʔaa xa rii na
إِنَّ مَا تُوعَدُونَ لَآتٍ ۖ وَمَا أَنتُم بِمُعْجِزِينَ || ʔi n na <space> maa <space> tuu ʕa duu na <space> la ʔaa tin <space> wa maa <space> ʔa n tu m <space> bi mu ʕ ji zii na
قُلْ يَا قَوْمِ اعْمَلُوا عَلَىٰ مَكَانَتِكُمْ إِنِّي عَامِلٌ ۖ فَسَوْفَ تَعْلَمُونَ مَن تَكُونُ لَهُ عَاقِبَةُ الدَّارِ ۗ إِنَّهُ لَا يُفْلِحُ الظَّالِمُونَ || qu l <space> yaa <space> qa w mi <space> <wasl> ʕ ma luu <space> ʕa laa <space> ma kaa na ti ku m <space> ʔi n nii <space> ʕaa mi lun <space> fa sa w fa <space> ta ʕ la muu na <space> ma n <space> ta kuu nu <space> la huu <space> ʕaa qi ba Tu <space> <wasl> d daa ri <space> ʔi n na huu <space> laa <space> yu f li ħu <space> <wasl> ðˤ ðˤaa li muu na
وَجَعَلُوا لِلَّهِ مِمَّا ذَرَأَ مِنَ الْحَرْثِ وَالْأَنْعَامِ نَصِيبًا فَقَالُوا هَـٰذَا لِلَّهِ بِزَعْمِهِمْ وَهَـٰذَا لِشُرَكَائِنَا ۖ فَمَا كَانَ لِشُرَكَائِهِمْ فَلَا يَصِلُ إِلَى اللَّٰهِ ۖ وَمَا كَانَ لِلَّهِ فَهُوَ يَصِلُ إِلَىٰ شُرَكَائِهِمْ ۗ سَاءَ مَا يَحْكُمُونَ || wa ja ʕa luu <space> li l laa hi <space> mi m maa <space> ða ra ʔa <space> mi na <space> <wasl> l ħa r θi <space> wa <wasl> l ʔa n ʕaa mi <space> na sˤii ban <space> fa qaa luu <space> haa ðaa <space> li l laa hi <space> bi za ʕ mi hi m <space> wa haa ðaa <space> li ʃu ra kaa ʔi naa <space> fa maa <space> kaa na <space> li ʃu ra kaa ʔi hi m <space> fa laa <space> ya sˤi lu <space> ʔi laa <space> <wasl> l laa hi <space> wa maa <space> kaa na <space> li l laa hi <space> fa hu wa <space> ya sˤi lu <space> ʔi laa <space> ʃu ra kaa ʔi hi m <space> saa ʔa <space> maa <space> ya ħ ku muu na
وَكَذَٰلِكَ زَيَّنَ لِكَثِيرٍ مِّنَ الْمُشْرِكِينَ قَتْلَ أَوْلَادِهِمْ شُرَكَاؤُهُمْ لِيُرْدُوهُمْ وَلِيَلْبِسُوا عَلَيْهِمْ دِينَهُمْ ۖ وَلَوْ شَاءَ اللَّٰهُ مَا فَعَلُوهُ ۖ فَذَرْهُمْ وَمَا يَفْتَرُونَ || wa ka ðaa li ka <space> za y ya na <space> li ka θii rin <space> m mi na <space> <wasl> l mu ʃ ri kii na <space> qa t la <space> ʔa w laa di hi m <space> ʃu ra kaa ʔu hu m <space> li yu r duu hu m <space> wa li ya l bi suu <space> ʕa la y hi m <space> dii na hu m <space> wa la w <space> ʃaa ʔa <space> <wasl> l laa hu <space> maa <space> fa ʕa luu hu <space> fa ða r hu m <space> wa maa <space> ya f ta ruu na
وَقَالُوا هَـٰذِهِ أَنْعَامٌ وَحَرْثٌ حِجْرٌ لَّا يَطْعَمُهَا إِلَّا مَن نَّشَاءُ بِزَعْمِهِمْ وَأَنْعَامٌ حُرِّمَتْ ظُهُورُهَا وَأَنْعَامٌ لَّا يَذْكُرُونَ اسْمَ اللَّٰهِ عَلَيْهَا افْتِرَاءً عَلَيْهِ ۚ سَيَجْزِيهِم بِمَا كَانُوا يَفْتَرُونَ || wa qaa luu <space> haa ði hii <space> ʔa n ʕaa mun <space> wa ħa r θun <space> ħi j run <space> l laa <space> ya tˤ ʕa mu haa <space> ʔi l laa <space> ma n <space> n na ʃaa ʔu <space> bi za ʕ mi hi m <space> wa ʔa n ʕaa mun <space> ħu r ri ma t <space> ðˤu huu ru haa <space> wa ʔa n ʕaa mun <space> l laa <space> ya ð ku ruu na <space> <wasl> s ma <space> <wasl> l laa hi <space> ʕa la y haa <space> <wasl> f ti raa ʔan <space> ʕa la y hi <space> sa ya j zi yii hi m <space> bi maa <space> kaa nuu <space> ya f ta ruu na
وَقَالُوا مَا فِي بُطُونِ هَـٰذِهِ الْأَنْعَامِ خَالِصَةٌ لِّذُكُورِنَا وَمُحَرَّمٌ عَلَىٰ أَزْوَاجِنَا ۖ وَإِن يَكُن مَّيْتَةً فَهُمْ فِيهِ شُرَكَاءُ ۚ سَيَجْزِيهِمْ وَصْفَهُمْ ۚ إِنَّهُ حَكِيمٌ عَلِيمٌ || wa qaa luu <space> maa <space> fii <space> bu tˤuu ni <space> haa ði hi <space> <wasl> l ʔa n ʕaa mi <space> xaa li sˤa Tun <space> l li ðu kuu ri naa <space> wa mu ħa r ra mun <space> ʕa laa <space> ʔa z waa ji naa <space> wa ʔi n <space> ya ku n <space> m ma y ta Tan <space> fa hu m <space> fii hi <space> ʃu ra kaa ʔu <space> sa ya j zi yii hi m <space> wa sˤ fa hu m <space> ʔi n na huu <space> ħa kii mun <space> ʕa lii mun
قَدْ خَسِرَ الَّذِينَ قَتَلُوا أَوْلَادَهُمْ سَفَهًا بِغَيْرِ عِلْمٍ وَحَرَّمُوا مَا رَزَقَهُمُ اللَّٰهُ افْتِرَاءً عَلَى اللَّٰهِ ۚ قَدْ ضَلُّوا وَمَا كَانُوا مُهْتَدِينَ || qa d <space> xa si ra <space> <wasl> l la ðii na <space> qa ta luu <space> ʔa w laa da hu m <space> sa fa han <space> bi ɣa y ri <space> ʕi l min <space> wa ħa r ra muu <space> maa <space> ra za qa hu mu <space> <wasl> l laa hu <space> <wasl> f ti raa ʔan <space> ʕa laa <space> <wasl> l laa hi <space> qa d <space> dˤa l luu <space> wa maa <space> kaa nuu <space> mu h ta dii na
وَهُوَ الَّذِي أَنشَأَ جَنَّاتٍ مَّعْرُوشَاتٍ وَغَيْرَ مَعْرُوشَاتٍ وَالنَّخْلَ وَالزَّرْعَ مُخْتَلِفًا أُكُلُهُ وَالزَّيْتُونَ وَالرُّمَّانَ مُتَشَابِهًا وَغَيْرَ مُتَشَابِهٍ ۚ كُلُوا مِن ثَمَرِهِ إِذَا أَثْمَرَ وَآتُوا حَقَّهُ يَوْمَ حَصَادِهِ ۖ وَلَا تُسْرِفُوا ۚ إِنَّهُ لَا يُحِبُّ الْمُسْرِفِينَ || wa hu wa <space> <wasl> l la ðii <space> ʔa n ʃa ʔa <space> ja n naa tin <space> m ma ʕ ruu ʃaa tin <space> wa ɣa y ra <space> ma ʕ ruu ʃaa tin <space> wa <wasl> n na x la <space> wa <wasl> z za r ʕa <space> mu x ta li fan <space> ʔu ku lu huu <space> wa <wasl> z za y tuu na <space> wa <wasl> r ru m maa na <space> mu ta ʃaa bi han <space> wa ɣa y ra <space> mu ta ʃaa bi hin <space> ku luu <space> mi n <space> θa ma ri hii <space> ʔi ðaa <space> ʔa θ ma ra <space> wa ʔaa tuu <space> ħa q qa huu <space> ya w ma <space> ħa sˤaa di hii <space> wa laa <space> tu s ri fuu <space> ʔi n na huu <space> laa <space> yu ħi b bu <space> <wasl> l mu s ri fii na
وَمِنَ الْأَنْعَامِ حَمُولَةً وَفَرْشًا ۚ كُلُوا مِمَّا رَزَقَكُمُ اللَّٰهُ وَلَا تَتَّبِعُوا خُطُوَاتِ الشَّيْطَانِ ۚ إِنَّهُ لَكُمْ عَدُوٌّ مُّبِينٌ || wa mi na <space> <wasl> l ʔa n ʕaa mi <space> ħa muu la Tan <space> wa fa r ʃan <space> ku luu <space> mi m maa <space> ra za qa ku mu <space> <wasl> l laa hu <space> wa laa <space> ta t ta bi ʕuu <space> xu tˤu waa ti <space> <wasl> ʃ ʃa y tˤaa ni <space> ʔi n na huu <space> la ku m <space> ʕa du w wun <space> m mu bii nun
ثَمَانِيَةَ أَزْوَاجٍ ۖ مِّنَ الضَّأْنِ اثْنَيْنِ وَمِنَ الْمَعْزِ اثْنَيْنِ ۗ قُلْ آلذَّكَرَيْنِ حَرَّمَ أَمِ الْأُنثَيَيْنِ أَمَّا اشْتَمَلَتْ عَلَيْهِ أَرْحَامُ الْأُنثَيَيْنِ ۖ نَبِّئُونِي بِعِلْمٍ إِن كُنتُمْ صَادِقِينَ || θa maa ni ya Ta <space> ʔa z waa jin <space> m mi na <space> <wasl> dˤ dˤa ʔ ni <space> <wasl> θ na y ni <space> wa mi na <space> <wasl> l ma ʕ zi <space> <wasl> θ na y ni <space> qu l <space> ʔaa l ð ða ka ra y ni <space> ħa r ra ma <space> ʔa mi <space> <wasl> l ʔu n θa ya y ni <space> ʔa m maa <space> <wasl> ʃ ta ma la t <space> ʕa la y hi <space> ʔa r ħaa mu <space> <wasl> l ʔu n θa ya y ni <space> na b bi ʔuu nii <space> bi ʕi l min <space> ʔi n <space> ku n tu m <space> sˤaa di qii na
وَمِنَ الْإِبِلِ اثْنَيْنِ وَمِنَ الْبَقَرِ اثْنَيْنِ ۗ قُلْ آلذَّكَرَيْنِ حَرَّمَ أَمِ الْأُنثَيَيْنِ أَمَّا اشْتَمَلَتْ عَلَيْهِ أَرْحَامُ الْأُنثَيَيْنِ ۖ أَمْ كُنتُمْ شُهَدَاءَ إِذْ وَصَّاكُمُ اللَّٰهُ بِهَـٰذَا ۚ فَمَنْ أَظْلَمُ مِمَّنِ افْتَرَىٰ عَلَى اللَّٰهِ كَذِبًا لِّيُضِلَّ النَّاسَ بِغَيْرِ عِلْمٍ ۗ إِنَّ اللَّٰهَ لَا يَهْدِي الْقَوْمَ الظَّالِمِينَ || wa mi na <space> <wasl> l ʔi bi li <space> <wasl> θ na y ni <space> wa mi na <space> <wasl> l ba qa ri <space> <wasl> θ na y ni <space> qu l <space> ʔaa l ð ða ka ra y ni <space> ħa r ra ma <space> ʔa mi <space> <wasl> l ʔu n θa ya y ni <space> ʔa m maa <space> <wasl> ʃ ta ma la t <space> ʕa la y hi <space> ʔa r ħaa mu <space> <wasl> l ʔu n θa ya y ni <space> ʔa m <space> ku n tu m <space> ʃu ha daa ʔa <space> ʔi ð <space> wa sˤ sˤaa ku mu <space> <wasl> l laa hu <space> bi haa ðaa <space> fa ma n <space> ʔa ðˤ la mu <space> mi m ma ni <space> <wasl> f ta raa <space> ʕa laa <space> <wasl> l laa hi <space> ka ði ban <space> l li yu dˤi l la <space> <wasl> n naa sa <space> bi ɣa y ri <space> ʕi l min <space> ʔi n na <space> <wasl> l laa ha <space> laa <space> ya h di yii <space> <wasl> l qa w ma <space> <wasl> ðˤ ðˤaa li mii na
قُل لَّا أَجِدُ فِي مَا أُوحِيَ إِلَيَّ مُحَرَّمًا عَلَىٰ طَاعِمٍ يَطْعَمُهُ إِلَّا أَن يَكُونَ مَيْتَةً أَوْ دَمًا مَّسْفُوحًا أَوْ لَحْمَ خِنزِيرٍ فَإِنَّهُ رِجْسٌ أَوْ فِسْقًا أُهِلَّ لِغَيْرِ اللَّٰهِ بِهِ ۚ فَمَنِ اضْطُرَّ غَيْرَ بَاغٍ وَلَا عَادٍ فَإِنَّ رَبَّكَ غَفُورٌ رَّحِيمٌ || qu l <space> l laa <space> ʔa ji du <space> fii <space> maa <space> ʔuu ħi ya <space> ʔi la y ya <space> mu ħa r ra man <space> ʕa laa <space> tˤaa ʕi min <space> ya tˤ ʕa mu huu <space> ʔi l laa <space> ʔa n <space> ya kuu na <space> ma y ta Tan <space> ʔa w <space> da man <space> m ma s fuu ħan <space> ʔa w <space> la ħ ma <space> xi n zii rin <space> fa ʔi n na huu <space> ri j sun <space> ʔa w <space> fi s qan <space> ʔu hi l la <space> li ɣa y ri <space> <wasl> l laa hi <space> bi hii <space> fa ma ni <space> <wasl> dˤ tˤu r ra <space> ɣa y ra <space> baa ɣin <space> wa laa <space> ʕaa din <space> fa ʔi n na <space> ra b ba ka <space> ɣa fuu run <space> r ra ħii mun
وَعَلَى الَّذِينَ هَادُوا حَرَّمْنَا كُلَّ ذِي ظُفُرٍ ۖ وَمِنَ الْبَقَرِ وَالْغَنَمِ حَرَّمْنَا عَلَيْهِمْ شُحُومَهُمَا إِلَّا مَا حَمَلَتْ ظُهُورُهُمَا أَوِ الْحَوَايَا أَوْ مَا اخْتَلَطَ بِعَظْمٍ ۚ ذَٰلِكَ جَزَيْنَاهُم بِبَغْيِهِمْ ۖ وَإِنَّا لَصَادِقُونَ || wa ʕa laa <space> <wasl> l la ðii na <space> haa duu <space> ħa r ra m naa <space> ku l la <space> ðii <space> ðˤu fu rin <space> wa mi na <space> <wasl> l ba qa ri <space> wa <wasl> l ɣa na mi <space> ħa r ra m naa <space> ʕa la y hi m <space> ʃu ħuu ma hu maa <space> ʔi l laa <space> maa <space> ħa ma la t <space> ðˤu huu ru hu maa <space> ʔa wi <space> <wasl> l ħa waa yaa <space> ʔa w <space> maa <space> <wasl> x ta la tˤa <space> bi ʕa ðˤ min <space> ðaa li ka <space> ja za y naa hu m <space> bi ba ɣ yi hi m <space> wa ʔi n naa <space> la sˤaa di quu na
فَإِن كَذَّبُوكَ فَقُل رَّبُّكُمْ ذُو رَحْمَةٍ وَاسِعَةٍ وَلَا يُرَدُّ بَأْسُهُ عَنِ الْقَوْمِ الْمُجْرِمِينَ || fa ʔi n <space> ka ð ða buu ka <space> fa qu l <space> r ra b bu ku m <space> ðuu <space> ra ħ ma Tin <space> waa si ʕa Tin <space> wa laa <space> yu ra d du <space> ba ʔ su huu <space> ʕa ni <space> <wasl> l qa w mi <space> <wasl> l mu j ri mii na
سَيَقُولُ الَّذِينَ أَشْرَكُوا لَوْ شَاءَ اللَّٰهُ مَا أَشْرَكْنَا وَلَا آبَاؤُنَا وَلَا حَرَّمْنَا مِن شَيْءٍ ۚ كَذَٰلِكَ كَذَّبَ الَّذِينَ مِن قَبْلِهِمْ حَتَّىٰ ذَاقُوا بَأْسَنَا ۗ قُلْ هَلْ عِندَكُم مِّنْ عِلْمٍ فَتُخْرِجُوهُ لَنَا ۖ إِن تَتَّبِعُونَ إِلَّا الظَّنَّ وَإِنْ أَنتُمْ إِلَّا تَخْرُصُونَ || sa ya quu lu <space> <wasl> l la ðii na <space> ʔa ʃ ra kuu <space> la w <space> ʃaa ʔa <space> <wasl> l laa hu <space> maa <space> ʔa ʃ ra k naa <space> wa laa <space> ʔaa baa ʔu naa <space> wa laa <space> ħa r ra m naa <space> mi n <space> ʃa y ʔin <space> ka ðaa li ka <space> ka ð ða ba <space> <wasl> l la ðii na <space> mi n <space> qa b li hi m <space> ħa t taa <space> ðaa quu <space> ba ʔ sa naa <space> qu l <space> ha l <space> ʕi n da ku m <space> m mi n <space> ʕi l min <space> fa tu x ri juu hu <space> la naa <space> ʔi n <space> ta t ta bi ʕuu na <space> ʔi l laa <space> <wasl> ðˤ ðˤa n na <space> wa ʔi n <space> ʔa n tu m <space> ʔi l laa <space> ta x ru sˤuu na
قُلْ فَلِلَّهِ الْحُجَّةُ الْبَالِغَةُ ۖ فَلَوْ شَاءَ لَهَدَاكُمْ أَجْمَعِينَ || qu l <space> fa li l laa hi <space> <wasl> l ħu j ja Tu <space> <wasl> l baa li ɣa Tu <space> fa la w <space> ʃaa ʔa <space> la ha daa ku m <space> ʔa j ma ʕii na
قُلْ هَلُمَّ شُهَدَاءَكُمُ الَّذِينَ يَشْهَدُونَ أَنَّ اللَّٰهَ حَرَّمَ هَـٰذَا ۖ فَإِن شَهِدُوا فَلَا تَشْهَدْ مَعَهُمْ ۚ وَلَا تَتَّبِعْ أَهْوَاءَ الَّذِينَ كَذَّبُوا بِآيَاتِنَا وَالَّذِينَ لَا يُؤْمِنُونَ بِالْآخِرَةِ وَهُم بِرَبِّهِمْ يَعْدِلُونَ || qu l <space> ha lu m ma <space> ʃu ha daa ʔa ku mu <space> <wasl> l la ðii na <space> ya ʃ ha duu na <space> ʔa n na <space> <wasl> l laa ha <space> ħa r ra ma <space> haa ðaa <space> fa ʔi n <space> ʃa hi duu <space> fa laa <space> ta ʃ ha d <space> ma ʕa hu m <space> wa laa <space> ta t ta bi ʕ <space> ʔa h waa ʔa <space> <wasl> l la ðii na <space> ka ð ða buu <space> bi ʔaa yaa ti naa <space> wa <wasl> l la ðii na <space> laa <space> yu ʔ mi nuu na <space> bi <wasl> l ʔaa xi ra Ti <space> wa hu m <space> bi ra b bi hi m <space> ya ʕ di luu na
قُلْ تَعَالَوْا أَتْلُ مَا حَرَّمَ رَبُّكُمْ عَلَيْكُمْ ۖ أَلَّا تُشْرِكُوا بِهِ شَيْئًا ۖ وَبِالْوَالِدَيْنِ إِحْسَانًا ۖ وَلَا تَقْتُلُوا أَوْلَادَكُم مِّنْ إِمْلَاقٍ ۖ نَّحْنُ نَرْزُقُكُمْ وَإِيَّاهُمْ ۖ وَلَا تَقْرَبُوا الْفَوَاحِشَ مَا ظَهَرَ مِنْهَا وَمَا بَطَنَ ۖ وَلَا تَقْتُلُوا النَّفْسَ الَّتِي حَرَّمَ اللَّٰهُ إِلَّا بِالْحَقِّ ۚ ذَٰلِكُمْ وَصَّاكُم بِهِ لَعَلَّكُمْ تَعْقِلُونَ || qu l <space> ta ʕaa la w <space> ʔa t lu <space> maa <space> ħa r ra ma <space> ra b bu ku m <space> ʕa la y ku m <space> ʔa l laa <space> tu ʃ ri kuu <space> bi hii <space> ʃa y ʔan <space> wa bi <wasl> l waa li da y ni <space> ʔi ħ saa nan <space> wa laa <space> ta q tu luu <space> ʔa w laa da ku m <space> m mi n <space> ʔi m laa qin <space> n na ħ nu <space> na r zu qu ku m <space> wa ʔi y yaa hu m <space> wa laa <space> ta q ra buu <space> <wasl> l fa waa ħi ʃa <space> maa <space> ðˤa ha ra <space> mi n haa <space> wa maa <space> ba tˤa na <space> wa laa <space> ta q tu luu <space> <wasl> n na f sa <space> <wasl> l la tii <space> ħa r ra ma <space> <wasl> l laa hu <space> ʔi l laa <space> bi <wasl> l ħa q qi <space> ðaa li ku m <space> wa sˤ sˤaa ku m <space> bi hii <space> la ʕa l la ku m <space> ta ʕ qi luu na
